video no,v_u,peak_slope,naq,frequency,energy,slope,spectral,polarity
7,0.4684690085,0.0778422954,0.1599462635,107.902677281,6.2564798258,0.0120615608,0.1383708369,-1
7,0.5011813581,0.0742931779,0.1330909822,79.0736816192,6.7950662759,0.0130124668,0.1104196369,-1
7,0.4304261513,0.0725833553,0.1047465752,66.6625023586,7.321008757,0.0132440444,0.1153411262,0
7,0.4317861856,0.0798691896,0.1166890621,80.6508928884,8.0182837677,0.0144836353,0.1008979109,0
7,0.498062305,0.0807636536,0.1249134629,77.5550288461,8.0455025853,0.0121941224,0.1207079871,-1
7,0.405829036,0.0584139196,0.1260389687,70.7626157429,7.4405768973,0.0140973921,0.0857988878,-1
7,0.4473507079,0.0743840508,0.1109987283,82.9280805848,7.0020596019,0.0138170799,0.0945908881,1
8,0.4734235295,0.1067963811,0.1011625717,60.5605135311,12.5406195087,0.0183214762,0.1324300948,1
8,0.4838817865,0.1054301285,0.1062916293,53.799438501,10.3417199212,0.0169104547,0.096752887,1
8,0.4707329206,0.1036271967,0.0952162831,52.9714472037,10.2747701422,0.0159631495,0.1047403722,1
8,0.4634651493,0.0939112828,0.1065889721,52.943751896,11.0462195374,0.0156943993,0.1140518804,1
9,0.4977599566,0.1002016294,0.0976472121,62.1788743356,9.9021884367,0.0150262647,0.1420738297,-1
9,0.4982950507,0.106537617,0.0973255663,63.4893187126,10.1601287468,0.0177748667,0.1290462208,0
9,0.4998825594,0.1011305367,0.0919346177,59.3845584969,9.6716065231,0.0170330322,0.1468953725,-1
10,0.4998401407,0.0787651208,0.1444353716,60.6315718499,8.0891023358,0.0133316132,0.1478709745,0
10,0.4795270447,0.0778865615,0.1245667781,56.3157765707,5.2240424449,0.0134972235,0.1192533017,0
10,0.4869331197,0.0789789044,0.10248497,54.25818369,3.8747985962,0.0138705505,0.0876352697,0
10,0.4977298327,0.0711022424,0.1289540431,54.3474391554,6.2386642687,0.0120136638,0.1128230383,1
10,0.4736463715,0.0709768366,0.1202592796,45.3815580372,8.0379452787,0.0127843148,0.1262504882,0
10,0.4541727235,0.0632643422,0.1041311669,47.8470981798,6.3979640253,0.0105025239,0.1479060241,1
10,0.4682820818,0.0902206489,0.1089226123,40.3753134798,5.9335128272,0.0124527373,0.1219387788,1
10,0.4310844555,0.0757958057,0.1142389915,30.2131043227,6.4530757601,0.0123643052,0.1132438237,1
10,0.4572299569,0.0641434449,0.097958934,29.7347936913,6.0457867593,0.0147542762,0.0857169141,0
11,0.4815671518,0.1711108967,0.1077872358,61.9940440766,13.2425895262,0.0246443703,0.1099401192,-1
11,0.4994340689,0.1478426866,0.1160867062,53.8501911175,12.9755639756,0.0297209271,0.091225126,-1
11,0.5000965531,0.1490533898,0.1059334287,41.6239961596,13.6064164352,0.0241473237,0.1163416042,-1
11,0.499389599,0.1566921916,0.1100051344,49.6435489505,14.3608381444,0.0260232942,0.1288787685,0
11,0.4945507433,0.1515029278,0.0959193491,52.4535546626,10.8152895655,0.0327992499,0.0666745378,1
12,0.4656293412,0.0852992708,0.0852035642,60.48596265,6.124644825,0.0131833419,0.0919829377,0
12,0.500657316,0.0588203786,0.0967998094,56.2574385023,9.4425136414,0.0137748808,0.1268697053,-1
12,0.4211829397,0.0808940461,0.0882328994,58.9070528425,10.3533577411,0.0121124283,0.174153409,-1
12,0.4961341619,0.071391381,0.0865917855,57.4932442059,9.7270074216,0.0117215211,0.1118984066,-1
12,0.4452957083,0.0688134209,0.0641222621,50.2204841016,5.2430187915,0.0115379923,0.086989705,0
12,0.4999384956,0.0682147256,0.0892618823,59.4605292964,6.0813225422,0.0118360473,0.0772169048,-1
12,0.4988655664,0.0736050835,0.0864781463,50.1478854247,8.8831153535,0.0114165118,0.1044310076,1
12,0.4771763017,0.0715082108,0.0776765949,46.2068981331,9.5862719702,0.0116911847,0.0972834817,0
12,0.4999454028,0.069632321,0.0904287242,53.3913940842,9.160480524,0.0114638291,0.1021386646,1
12,0.49446087,0.0812643392,0.0819671929,49.8501042237,7.7093817891,0.0124572635,0.0990400783,-1
13,0.4849541769,0.09703473,0.088408463,42.6232234041,12.9522403324,0.0211078746,0.0966786895,1
13,0.5002624762,0.0899393242,0.1062684795,43.0528435974,12.9162272139,0.0192996794,0.1221363799,0
13,0.4995108593,0.1045626879,0.1059139572,39.4253610284,11.9074145079,0.0205991083,0.1139401581,0
13,0.4994260418,0.1152918349,0.0917090288,42.7963548675,12.0209297818,0.0209511393,0.1068656883,0
13,0.4998855704,0.1066213672,0.1196529015,43.9366491447,9.7180007971,0.0188958921,0.0705429105,0
13,0.4864809548,0.0857860379,0.1204236765,41.735732326,12.6000174825,0.0217969441,0.1233836065,0
13,0.4821302362,0.1021035197,0.1009225384,40.0729554693,11.5508230845,0.0210397806,0.0919216923,0
13,0.4998405595,0.1088524762,0.1020693606,40.2314250485,11.1439682583,0.0202086617,0.0978874384,-1
14,0.1601281538,0.021027344,0.0938277556,99.2777833788,1.061057265,0.0070934586,0.2107254314,0
14,0.4990844798,0.0593504439,0.0711254521,75.637891102,9.5360349113,0.0162435738,0.1623646142,0
14,0.4910122343,0.0534304248,0.071815788,57.1432002359,8.6648670872,0.0150726046,0.1411481652,1
14,0.4953868804,0.0494539224,0.0757818786,73.3948336111,9.1051213216,0.01414583,0.1671505771,1
14,0.5006662228,0.0461428788,0.0690584321,57.6507750557,9.6301225831,0.0127546232,0.1790332822,0
14,0.4273005086,0.0514763105,0.0790997531,50.1322135724,7.0920937888,0.0130297618,0.1465969711,0
14,0.4778342302,0.0380356059,0.0676753503,74.5136067959,7.4012140851,0.0141716714,0.1580588194,1
15,0.3860457182,0.0531117006,0.0586239757,34.0046748382,4.984710486,0.0117472298,0.0410057604,1
15,0.4328192038,0.0643594646,0.0595804421,35.9571807227,6.1929202914,0.0150879733,0.060708378,-1
15,0.4670776896,0.0666995577,0.0719857719,40.3946715809,7.5357218818,0.0136235185,0.0671702855,1
15,0.4912822867,0.0660092018,0.081833504,43.5671404526,8.0952119686,0.0116379892,0.0595152045,-1
15,0.48573707,0.0619702187,0.0712465236,50.221263377,7.1044482399,0.0124406251,0.0566061815,0
15,0.493591465,0.0631582359,0.0781527096,50.9407576062,6.8682019575,0.0136326874,0.0683479045,-1
15,0.4784903501,0.0677385663,0.0714262846,56.0359995849,6.3057843407,0.012364501,0.0654200796,-1
16,0.4912864567,0.1135505514,0.123182771,35.5094199744,11.3246039472,0.0161356966,0.1025455714,-1
16,0.4499415634,0.1188245915,0.1286500104,31.3405992151,8.9755206355,0.015046486,0.0952175995,-1
16,0.4896513714,0.1005717608,0.1321496371,31.1788391296,8.4163739898,0.012638448,0.103273381,-1
16,0.4917363666,0.0972735866,0.1118399228,45.225242458,9.0014259034,0.0140477254,0.0882426105,0
16,0.4780647067,0.1010601133,0.137077155,34.8048569556,10.0533703662,0.0148677133,0.1126571964,-1
17,0.4982551246,0.1083169985,0.0652484292,36.4854192947,18.6051149899,0.0216135926,0.155861999,-1
17,0.3818361692,0.0658519104,0.0610576459,24.0038606933,16.2238978356,0.0198099956,0.152901267,-1
17,0.4597266377,0.1093807174,0.0706460097,27.3091495894,11.0625613748,0.0223794494,0.0756083175,-1
17,0.4547857913,0.1160818476,0.0588060848,31.7520821167,14.7728489479,0.0203917467,0.0921220077,-1
17,0.4926181214,0.1085560294,0.0573830279,33.024566694,18.8201181191,0.0182398916,0.1463874279,1
18,0.4977492081,0.0277073145,0.0802775334,74.7784589783,9.1238988401,0.0163140086,0.1622463261,-1
18,0.5001290957,0.0515837831,0.0714636657,62.1364649565,9.8667203734,0.0140022437,0.1652550509,1
18,0.4961979113,0.0535713684,0.0662162501,60.0414334337,9.9993967489,0.0144528567,0.1604916242,1
18,0.4727928749,0.043676196,0.0734060062,50.5381905318,9.1948144176,0.0113053357,0.1682807988,1
18,0.4919817883,0.045747718,0.0796322407,60.8998998982,9.8797926453,0.0143390347,0.1599636756,1
18,0.496016215,0.0497687934,0.0702635388,67.6129507999,9.127577073,0.0152683829,0.1498314313,1
19,0.4967746638,0.0748488803,0.1440202261,49.1953955345,2.2830140783,0.0050691876,0.1397925559,1
19,0.5008473726,0.0728267188,0.1530425316,53.2456599932,0.6865927468,0.0026382113,0.1512929606,1
19,0.4953231434,0.0711407948,0.1304388093,39.5429515392,1.4382831627,0.0042281997,0.0801750959,1
19,0.4929958298,0.095267533,0.0920532334,42.2945164555,2.1189902939,0.0051734615,0.1321126834,1
19,0.4638432387,0.0924632464,0.1197580569,52.8771178337,1.2003769729,0.0027393995,0.1298833919,-1
19,0.4925790788,0.0938131116,0.1454158112,53.6701467122,1.0822968328,0.0028810438,0.1431486589,1
19,0.4883773757,0.100544456,0.1603949336,51.0202784039,1.7167019286,0.0042345719,0.1279108297,0
21,0.4660360172,nan,0.1485912527,51.2182666053,nan,nan,0.1490188593,1
21,0.3775096744,0.0796805973,0.1641614686,46.25380851,8.1424373387,0.0161783313,0.14322625,0
21,0.4532421331,0.1081226491,0.1649118311,52.9143592284,8.8408908155,0.0159658468,0.1342007679,0
21,0.4991116049,0.116076628,0.1522049824,44.6543678957,8.1997337564,0.0171606728,0.1195321974,1
21,0.4899516734,0.1036511358,0.1381445293,46.0241127556,7.6492759067,0.0159855995,0.1037096635,-1
21,0.4925508083,0.1084603732,0.131491395,39.741604749,7.8199697585,0.015720391,0.1061989961,1
22,0.4907346225,0.0923755424,0.1000511207,56.5338916569,11.1619736387,0.0192588585,0.1387028264,0
22,0.4432077736,0.0827190352,0.0859079964,44.0023376392,10.0222520967,0.0177641787,0.1004892375,-1
22,0.4451900859,0.0827710816,0.1012319627,49.0580294184,9.9391440637,0.0185294407,0.080297423,1
22,0.4623433526,0.1024153791,0.100822998,49.244306117,9.5947400866,0.0197738032,0.0991299265,1
23,0.4932839338,0.0981376417,0.1167740252,72.4734667729,8.4785295813,0.014356353,0.1010354433,1
23,0.493601298,0.0934917697,0.1357888714,63.0814818646,8.5738245943,0.0158121959,0.1094515574,-1
23,0.4969356494,0.0958461064,0.1498816247,68.804071728,9.7182967308,0.015485902,0.1163416459,0
23,0.4751699998,0.0868936963,0.1184461967,64.68102333,9.3432836086,0.0141765365,0.1145771573,-1
23,0.4222829154,0.0892782816,0.1062003351,46.5328164909,7.4444536661,0.0142448002,0.1021993586,0
23,0.4423714626,0.0973213563,0.1190066659,60.5960586857,9.634634454,0.0174068048,0.108513632,1
23,0.4587960446,0.092063499,0.1138388309,58.3913606338,9.3619259268,0.0158732592,0.1089732112,0
23,0.446112666,0.0777004394,0.1304060811,47.7498096254,7.5905876151,0.0150609034,0.1049787221,0
24,0.5002082846,0.1343794029,0.1228853765,42.068071558,16.9106392148,0.01842016,0.1071465184,0
24,0.499296067,0.1435327617,0.1150372996,37.073554418,12.8491252818,0.0199570901,0.0942177627,0
24,0.5002623419,0.1419134145,0.1088932087,37.8718713188,13.8432552011,0.0182643971,0.0931438955,0
24,0.4653715552,0.1293860663,0.104632983,40.8366611405,13.3077065153,0.0185324884,0.0984111051,0
24,0.500730034,0.1448094777,0.0875874829,36.412340796,5.5971717218,0.0125721416,0.0613326591,1
24,0.4984447863,0.1380651027,0.1211323128,42.1970871573,8.1675672283,0.023023597,0.0727720283,0
24,0.501142261,0.169672258,0.1107365372,42.7069070739,14.9559278774,0.0164165705,0.1085807769,1
24,0.4916076373,0.1648169986,0.1068424066,44.3017561991,15.7341007424,0.0191102082,0.1103239493,0
24,0.4844671223,0.1253752028,0.112871129,46.307811488,16.2883928816,0.0198520664,0.1027708434,1
25,0.4581482586,0.0912314388,0.1069874247,32.702274734,8.5782842408,0.0145184574,0.0803549094,1
25,0.4247150261,0.0922990541,0.0686736832,30.9495856883,8.4889505993,0.0146512334,0.0409025076,1
25,0.4999131764,0.0835994736,0.1069468876,44.7395439886,23.6065845834,0.0181030392,0.1802995133,1
25,0.4992804677,0.0837029322,0.1352316726,43.1580750012,20.6389711548,0.0139469048,0.1612663046,1
25,0.4599383723,0.0790009941,0.1069036438,39.8378716618,13.8900611654,0.0148617152,0.0897356006,0
25,0.4871655312,0.1005210308,0.1218970807,47.9542859857,19.2853479851,0.019370298,0.1716732755,0
25,0.4949107322,0.1032524668,0.1278773166,48.1774899261,20.2224202774,0.0191947286,0.1245554555,1
26,0.486359695,0.0873941642,0.0861527713,85.4031020133,9.193127483,0.016505152,0.1004896678,1
26,0.4869684838,0.0872888915,0.0854505915,100.74691431,10.7802756877,0.014589445,0.1346600646,-1
26,0.452901181,0.0967909834,0.0826817284,95.5588811275,9.9758588569,0.0196758189,0.1289204643,-1
26,0.4969103894,0.0825006004,0.0906917143,82.3866735703,10.3474110002,0.0165116079,0.1280805189,1
27,0.333068543,0.0881621221,0.1628677775,60.468884728,7.5538378064,0.0115390656,0.1631290231,0
27,0.3183191881,0.085325781,0.1480980315,61.0282229401,7.3242338657,0.012412265,0.1246459143,1
27,0.4445671113,0.0748266802,0.1248592326,52.0452267421,6.2154615848,0.0114653648,0.1106372731,0
27,0.3672159755,0.0893085973,0.1082294529,52.139749555,6.6695545719,0.0129285647,0.1000171844,1
28,0.3837524754,0.0594830421,0.0616990759,78.2546546689,10.4524148087,0.0222467212,0.073366616,-1
28,0.4528707738,0.0829877919,0.0758621271,63.9971257372,12.0492054352,0.0207704051,0.0739599514,-1
28,0.4740418398,0.063216722,0.0885413503,64.5750990594,10.5059278067,0.019776372,0.0807922623,-1
28,0.4159001959,0.0642888659,0.0795279957,52.3144952778,8.8898202678,0.0220422995,0.0618444873,-1
28,0.4980840257,0.0686196442,0.0872806329,78.0103564139,13.7585713208,0.0180532792,0.1401836788,-1
28,0.4833261294,0.0684846708,0.0831390836,87.1030423557,12.8322843233,0.0195647097,0.0971015992,0
28,0.4645486412,0.07190655,0.0715714707,67.0923389776,12.1856967747,0.0204939177,0.0682417336,-1
28,0.4676523735,0.0843321035,0.0844207079,75.6880027037,11.445260491,0.0190775001,0.0712413241,-1
28,0.4460214118,0.082181706,0.0846707737,73.3642828813,12.5610841039,0.0204543549,0.0640882238,-1
28,0.4378046737,0.0774536722,0.0691845677,68.3518202268,10.2474865497,0.0213450458,0.075529164,-1
29,0.4017192358,nan,0.0849864934,81.9241963032,nan,nan,0.1009681321,-1
29,0.4622501635,0.0872540035,0.0664545006,72.0021029974,7.5777977908,0.016186888,0.0744664399,-1
29,0.4120158003,0.0802167541,0.0642869107,54.1008196555,10.4866084995,0.0174095566,0.0864308983,0
29,0.4286438703,0.0723202347,0.0697621474,59.8381086553,9.5299788401,0.0179276305,0.0888732218,-1
29,0.4385609456,0.0764535703,0.078127156,58.0357866773,10.3009126427,0.0186491841,0.0913303298,1
29,0.4478635819,0.0771991128,0.0710879899,59.9146148894,10.7022443146,0.0182258174,0.0857518361,-1
30,0.4938982185,0.1298138331,0.1237704146,48.9164148614,9.5048572737,0.01838203,0.0619018928,1
30,0.4997032806,0.1119796936,0.0876092438,52.1457706646,9.7346453518,0.0180836389,0.0864292424,-1
30,0.4838507297,0.1032514404,0.0918409347,50.3154248295,12.7102255928,0.0180491683,0.1034919561,-1
30,0.4584767515,0.1161721639,0.0970268176,43.198003621,10.2836893749,0.021738535,0.0673102419,-1
31,0.4659386577,0.0985406819,0.0956294448,59.3049630734,10.3520423047,0.0230989455,0.068232815,0
31,0.4491591205,0.1017595899,0.0886484576,53.550100765,11.6026167209,0.0212257356,0.0786256836,1
31,0.4238526804,0.0968064594,0.0780620798,57.8159518434,9.7556720677,0.0202167268,0.0720515789,1
31,0.410339982,0.0997846371,0.0915500422,43.7834888595,10.2917795405,0.0223640455,0.0727786562,1
31,0.4320507755,0.0955970656,0.0911969885,50.392643423,10.9869600611,0.022193546,0.0606520866,1
32,0.474909493,0.0967580858,0.1180910219,34.1040033532,8.5424042468,0.0125041353,0.1479234062,1
32,0.4413379593,0.0706244109,0.1002099899,31.9068045103,8.3126552699,0.0134389589,0.1308406655,-1
32,0.4713953319,0.0767396358,0.0957092371,30.0891421834,7.3740072403,0.0145313282,0.1167548981,-1
32,0.4524067094,0.0830184646,0.1044677654,33.0018634716,7.7632472597,0.0129008925,0.1257003092,-1
32,0.4362091717,0.0787507187,0.1188304948,30.8380627157,7.8093679875,0.0123811152,0.1212083261,-1
32,0.4742359106,0.0889643392,0.1005994783,34.2321523167,9.3099130856,0.0140421923,0.1637178812,-1
33,0.4992311164,0.087202966,0.2023903991,30.3672706868,9.091380891,0.0150707989,0.1697102169,-1
33,0.4999429069,0.0810994351,0.2023000493,29.7184549087,8.4726944647,0.0153947545,0.1599614235,-1
33,0.4990464074,0.0945262898,0.1801948777,29.7684505674,9.0190623776,0.0136742501,0.1791530918,-1
33,0.4935072386,0.1079902094,0.1573543059,30.1079295101,9.4498806705,0.0160838793,0.1721399236,-1
33,0.4702768522,0.0918273103,0.1241152318,29.3146353434,9.7644494132,0.0129482163,0.2014209818,-1
34,0.4739673608,0.1094647821,0.1246195851,58.6591082822,10.0399633654,0.0140261306,0.0998501963,-1
34,0.4667520278,0.0939308786,0.1037183569,49.8982781918,8.3858591794,0.0124439525,0.0868998908,-1
34,0.4851578835,0.1024823776,0.1099093329,49.8306773783,9.1715124243,0.0140602605,0.0920094538,-1
34,0.4868363429,0.1082713776,0.1123186507,53.0540692916,9.4171867182,0.0151802566,0.084950703,0
34,0.4908445264,0.1094217862,0.1198039956,52.5717337747,8.5870069302,0.0162967363,0.0790874486,1
35,0.4189878487,0.0923857032,0.0842897489,31.1277573541,6.7403113091,0.0151650347,0.0931866234,0
35,0.4870589013,0.0941295277,0.092157944,27.1253977225,8.1385554753,0.0179843006,0.0967752362,-1
35,0.478336008,0.0966245517,0.0832404354,27.5500217063,7.1515899297,0.0172168887,0.0839789562,-1
35,0.4739696999,0.1015490404,0.0826207753,22.9724568053,6.7720652652,0.0145737389,0.1092287469,1
35,0.4883090019,0.1112591107,0.0860431795,29.9306792041,7.0843465555,0.0161776846,0.1012954694,-1
35,0.4936027809,0.0921875069,0.0741308565,29.8188752611,7.0833682795,0.0176586901,0.0868237703,-1
36,0.4757408234,0.0992817167,0.0772778233,67.8759077344,9.0865015864,0.0175039995,0.0898586322,-1
36,0.4885629358,0.103239436,0.0862677618,53.2117930258,7.4397006312,0.0145856474,0.0845638103,-1
36,0.4345675101,0.1038378766,0.0827986202,63.806778516,9.4818085598,0.0107045016,0.1397943706,0
36,0.4840158642,0.0780352731,0.0864014919,40.7230429997,11.8329682052,0.0185776822,0.1153229091,-1
36,0.4987063368,0.1041593816,0.0896699076,54.9578278783,11.5846311802,0.0153501975,0.1259718302,-1
36,0.4921424151,0.1154104961,0.0892883984,49.3919031485,10.492418204,0.0145810025,0.1109949054,-1
36,0.4970532223,0.0956358735,0.1052673679,65.0718697837,13.4375362451,0.0119493817,0.179197916,-1
36,0.4828743107,0.1061429916,0.0948486232,45.9486292872,11.8667332506,0.0140889908,0.1189376226,-1
36,0.5003198529,0.0940506734,0.0924898678,55.9817540012,9.9977681467,0.0157631846,0.0945776393,-1
37,0.4999324422,0.0625183229,0.1265478904,59.9640884055,7.8393549789,0.0149161558,0.1388325168,0
37,0.5003971962,0.0670150386,0.1212362991,53.8479282527,8.4481941031,0.0162201158,0.1393031263,-1
37,0.5001825192,0.0586156772,0.1161520286,57.9844295761,7.7380503756,0.0139615879,0.1514483201,0
37,0.4839369186,0.0745681928,0.1250801986,44.9019176286,7.5546011445,0.0157507401,0.118145972,-1
37,0.4918333323,0.0639592244,0.1377813858,57.592718175,7.6870850329,0.013058603,0.1517203297,-1
38,0.499975903,0.0756122248,0.0966404133,59.6427619432,6.9811878894,0.0122969309,0.1029326931,0
38,0.5001343874,0.0722002364,0.1125175015,54.7782776022,6.2091607306,0.0124944021,0.0914828652,1
38,0.5005341118,0.0743990887,0.1228008931,56.0984413302,6.8967207012,0.0120772891,0.1153615073,0
38,0.5011845693,0.0785989418,0.1105088368,50.4818777819,5.4650973216,0.0128212354,0.0739002867,0
38,0.4997787376,0.0696910559,0.1058925633,54.2739779014,6.059750513,0.0118472182,0.0985487235,1
38,0.5001065445,0.0679807776,0.1244479369,56.3446047426,6.7860602465,0.0118292783,0.1025260156,1
39,0.4782009345,0.0948841011,0.1314967399,66.8518713135,12.3124861906,0.0170544819,0.131563145,1
39,0.4231143926,0.0984935523,0.1114781426,73.2778456043,10.0071353614,0.0174060974,0.1204309084,1
39,0.4558482702,0.1273592805,0.1102151203,57.5829272242,9.4173254484,0.0154273249,0.1164707566,1
39,0.4115654986,0.0958908274,0.0764345502,63.0042239102,9.0786456837,0.015766142,0.1032798097,1
39,0.352368562,0.0988863295,0.0923646007,60.077034326,10.0899974113,0.0163492712,0.1168255662,1
39,0.4000723524,0.1075716545,0.0931304384,61.4984282307,10.3133846879,0.0179697506,0.1189326458,0
40,0.4352533793,0.1085063589,0.1098475451,30.7761945736,7.4662609567,0.0138769431,0.0654244342,0
40,0.4323129932,0.1004335191,0.1204209886,30.1675993787,8.485530941,0.0159873621,0.0929630869,1
40,0.4272414853,0.0778015008,0.1008473819,30.6634352267,8.4536190854,0.0135062721,0.1035602596,0
40,0.4936621612,0.121482821,0.1333353598,35.4195526854,8.6170054657,0.0156114067,0.0807217799,1
41,0.4574028315,0.0918704965,0.0989017149,68.1701861017,16.2825015863,0.0257507203,0.0807877149,0
41,0.4495590154,0.1299604994,0.0990486549,66.789971376,10.2699362911,0.0232418685,0.0626869846,0
41,0.5001572823,0.1326483349,0.0902013565,78.3205931815,15.7005783123,0.0220476608,0.1339645742,-1
41,0.4923605906,0.1202337002,0.0987367505,70.9860651275,13.8871410067,0.0244970655,0.1073527812,0
42,0.2812724048,0.0803624378,0.0727590171,54.3360656177,5.1907386376,0.0134234808,0.0849114884,1
42,0.4960674846,0.0799028638,0.0890480746,105.568018129,10.4208698804,0.0155634127,0.1240484861,0
42,0.4192520268,0.1002898824,0.0911569685,77.049480192,8.6243510784,0.0143532516,0.1154724664,0
42,0.3442260643,0.0826639609,0.0810858567,55.5414416381,5.9703194145,0.0154739116,0.0906986328,0
42,0.4035368786,0.0666518972,0.0867699298,67.4654954298,7.7879643768,0.0144191653,0.0891364038,0
42,0.4796966427,0.0833912164,0.1043503553,104.25142766,10.8175514115,0.0126618787,0.1499028477,1
42,0.4694331374,0.088696503,0.0743297993,106.637496468,12.134380894,0.0143507473,0.1621994087,1
42,0.3535515806,0.0852688754,0.0718114698,73.0566346852,7.0003886997,0.012920032,0.1066381807,-1
42,0.4233963707,0.0943657402,0.0834067223,89.7932597097,9.8872407821,0.0129219193,0.1300103624,1
43,0.3723818477,0.0783112614,0.1092704951,40.0903319692,6.9340362586,0.0147419565,0.0663343582,1
43,0.4543546663,0.0956074002,0.1074675817,57.7158639325,8.9383727978,0.018408381,0.0947373746,0
43,0.4860765747,0.0993503544,0.1145324756,55.6108928391,11.4626098798,0.0146674457,0.1195596674,0
43,0.4317863517,0.0878205425,0.1175197031,52.7091334617,10.3539607477,0.0179125903,0.0911225882,0
43,0.4702622972,0.0788272734,0.1380057503,48.0300828156,10.384809963,0.0163275488,0.1241360483,-1
43,0.4618975529,0.0914561246,0.122732516,57.2006379683,12.3749350825,0.0184001565,0.1319590116,1
44,0.4937017643,0.0893164478,0.0885727006,64.3039682459,11.3109929804,0.0208269976,0.0633646714,-1
44,0.4940868127,0.0876840196,0.0902981993,63.1969538915,12.9530078685,0.0189739958,0.1058520603,-1
44,0.4980870327,0.0781392677,0.0932460838,65.4891750528,11.4681862876,0.0211076297,0.0654020206,-1
44,0.4979535341,0.0933881791,0.0897189772,65.9900860343,12.0879879633,0.019395724,0.0982604072,-1
